date,datetime,SPOSTMIN,SACTMIN
06/18/2013,2013-06-18 13:35:00,5,
06/18/2013,2013-06-18 13:42:00,5,
06/18/2013,2013-06-18 13:49:00,5,
06/18/2013,2013-06-18 13:56:00,5,
06/18/2013,2013-06-18 14:00:00,5,
06/18/2013,2013-06-18 14:07:00,5,
06/18/2013,2013-06-18 14:14:00,5,
06/18/2013,2013-06-18 14:21:00,5,
06/18/2013,2013-06-18 14:27:00,5,
06/18/2013,2013-06-18 14:35:00,5,
06/18/2013,2013-06-18 14:42:00,5,
06/18/2013,2013-06-18 14:49:00,5,
06/18/2013,2013-06-18 14:56:00,5,
06/18/2013,2013-06-18 15:00:00,5,
06/18/2013,2013-06-18 15:07:00,5,
06/18/2013,2013-06-18 15:14:00,5,
06/18/2013,2013-06-18 15:21:00,5,
06/18/2013,2013-06-18 15:27:00,5,
06/18/2013,2013-06-18 15:35:00,5,
06/18/2013,2013-06-18 15:42:00,5,
06/18/2013,2013-06-18 15:49:00,5,
06/18/2013,2013-06-18 15:56:00,5,
06/18/2013,2013-06-18 16:00:00,5,
06/18/2013,2013-06-18 16:07:00,5,
06/18/2013,2013-06-18 16:14:00,5,
06/18/2013,2013-06-18 16:21:00,5,
06/18/2013,2013-06-18 16:27:00,5,
06/18/2013,2013-06-18 16:35:00,5,
06/18/2013,2013-06-18 16:42:00,5,
06/18/2013,2013-06-18 16:49:00,5,
06/18/2013,2013-06-18 16:56:00,5,
06/18/2013,2013-06-18 17:00:00,5,
06/18/2013,2013-06-18 17:07:00,5,
06/18/2013,2013-06-18 17:14:00,5,
06/18/2013,2013-06-18 17:21:00,5,
06/18/2013,2013-06-18 17:27:00,5,
06/18/2013,2013-06-18 17:35:00,5,
06/18/2013,2013-06-18 17:42:00,5,
06/18/2013,2013-06-18 17:49:00,5,
06/18/2013,2013-06-18 17:56:00,5,
06/18/2013,2013-06-18 18:00:00,5,
06/18/2013,2013-06-18 18:07:00,5,
06/18/2013,2013-06-18 18:14:00,5,
06/18/2013,2013-06-18 18:21:00,5,
06/18/2013,2013-06-18 18:35:00,5,
06/18/2013,2013-06-18 18:42:00,5,
06/18/2013,2013-06-18 18:49:00,5,
06/18/2013,2013-06-18 18:56:00,5,
06/18/2013,2013-06-18 19:00:00,5,
06/18/2013,2013-06-18 19:07:00,5,
06/18/2013,2013-06-18 19:14:00,5,
06/18/2013,2013-06-18 19:21:00,5,
06/18/2013,2013-06-18 19:35:00,5,
06/18/2013,2013-06-18 19:42:00,5,
06/18/2013,2013-06-18 19:49:00,5,
06/18/2013,2013-06-18 19:56:00,5,
06/18/2013,2013-06-18 20:00:00,5,
04/20/2015,2015-04-20 15:28:00,-999,
04/20/2015,2015-04-20 15:33:00,-999,
04/20/2015,2015-04-20 15:38:00,-999,
04/20/2015,2015-04-20 15:43:00,-999,
04/20/2015,2015-04-20 15:48:00,-999,
04/20/2015,2015-04-20 15:53:00,-999,
04/20/2015,2015-04-20 15:58:00,-999,
04/20/2015,2015-04-20 16:03:00,-999,
04/20/2015,2015-04-20 16:08:00,-999,
04/20/2015,2015-04-20 16:18:00,-999,
04/20/2015,2015-04-20 16:23:00,-999,
04/20/2015,2015-04-20 16:28:00,-999,
04/20/2015,2015-04-20 16:33:00,-999,
04/20/2015,2015-04-20 16:38:00,-999,
04/20/2015,2015-04-20 16:43:00,-999,
04/20/2015,2015-04-20 16:48:00,-999,
04/20/2015,2015-04-20 16:58:00,-999,
04/20/2015,2015-04-20 17:03:00,-999,
04/20/2015,2015-04-20 17:08:00,-999,
04/20/2015,2015-04-20 17:13:00,-999,
04/20/2015,2015-04-20 17:18:00,-999,
04/20/2015,2015-04-20 17:23:00,-999,
04/20/2015,2015-04-20 17:28:00,-999,
04/20/2015,2015-04-20 17:33:00,-999,
04/20/2015,2015-04-20 17:38:00,-999,
04/20/2015,2015-04-20 17:43:00,-999,
04/20/2015,2015-04-20 17:48:00,-999,
04/20/2015,2015-04-20 17:53:00,-999,
04/20/2015,2015-04-20 17:58:00,-999,
04/20/2015,2015-04-20 18:13:00,-999,
04/20/2015,2015-04-20 18:18:00,-999,
04/20/2015,2015-04-20 18:23:00,-999,
04/20/2015,2015-04-20 18:28:00,-999,
04/20/2015,2015-04-20 18:43:00,-999,
04/20/2015,2015-04-20 18:48:00,-999,
04/20/2015,2015-04-20 18:53:00,-999,
04/20/2015,2015-04-20 18:58:00,-999,
04/20/2015,2015-04-20 19:03:00,-999,
06/05/2015,2015-06-05 17:03:00,-999,
06/05/2015,2015-06-05 17:08:00,-999,
